series_desc,series_id,base_weight,year
All items,CUUR0000SA0,100,1998
All items,CUUR0000SA0,100,1999
All items,CUUR0000SA0,100,2000
All items,CUUR0000SA0,100,2001
All items,CUUR0000SA0,100,2002
All items,CUUR0000SA0,100,2003
All items,CUUR0000SA0,100,2004
All items,CUUR0000SA0,100,2005
All items,CUUR0000SA0,100,2006
All items,CUUR0000SA0,100,2007
All items,CUUR0000SA0,100,2008
All items,CUUR0000SA0,100,2009
All items,CUUR0000SA0,100,2010
All items,CUUR0000SA0,100,2011
All items,CUUR0000SA0,100,2012
All items,CUUR0000SA0,100,2013
All items,CUUR0000SA0,100,2014
All items,CUUR0000SA0,100,2015
All items,CUUR0000SA0,100,2016
All items,CUUR0000SA0,100,2017
All items,CUUR0000SA0,100,2018
All items,CUUR0000SA0,100,2019
All items,CUUR0000SA0,100,2020
All items,CUUR0000SA0,100,2021
All items,CUUR0000SA0,100,2022
All items,CUUR0000SA0,100,2023
Apparel,CUUR0000SAA,4.831,1998
Apparel,CUUR0000SAA,4.684,1999
Apparel,CUUR0000SAA,4.453,2000
Apparel,CUUR0000SAA,4.399,2001
Apparel,CUUR0000SAA,4.22,2002
Apparel,CUUR0000SAA,3.975,2003
Apparel,CUUR0000SAA,3.841,2004
Apparel,CUUR0000SAA,3.786,2005
Apparel,CUUR0000SAA,3.726,2006
Apparel,CUUR0000SAA,3.731,2007
Apparel,CUUR0000SAA,3.691,2008
Apparel,CUUR0000SAA,3.695,2009
Apparel,CUUR0000SAA,3.601,2010
Apparel,CUUR0000SAA,3.562,2011
Apparel,CUUR0000SAA,3.564,2012
Apparel,CUUR0000SAA,3.437,2013
Apparel,CUUR0000SAA,3.343,2014
Apparel,CUUR0000SAA,3.101,2015
Apparel,CUUR0000SAA,3.034,2016
Apparel,CUUR0000SAA,3.018,2017
Apparel,CUUR0000SAA,2.959,2018
Apparel,CUUR0000SAA,2.81,2019
Apparel,CUUR0000SAA,2.663,2020
Apparel,CUUR0000SAA,2.458,2021
Apparel,CUUR0000SAA,2.479,2022
Apparel,CUUR0000SAA,2.512,2023
Men's and boys' apparel,CUUR0000SAA1,1.358,1998
Men's and boys' apparel,CUUR0000SAA1,1.335,1999
Men's and boys' apparel,CUUR0000SAA1,1.257,2000
Men's and boys' apparel,CUUR0000SAA1,1.122,2001
Men's and boys' apparel,CUUR0000SAA1,1.065,2002
Men's and boys' apparel,CUUR0000SAA1,1.024,2003
Men's and boys' apparel,CUUR0000SAA1,0.977,2004
Men's and boys' apparel,CUUR0000SAA1,0.915,2005
Men's and boys' apparel,CUUR0000SAA1,0.885,2006
Men's and boys' apparel,CUUR0000SAA1,0.935,2007
Men's and boys' apparel,CUUR0000SAA1,0.923,2008
Men's and boys' apparel,CUUR0000SAA1,0.903,2009
Men's and boys' apparel,CUUR0000SAA1,0.882,2010
Men's and boys' apparel,CUUR0000SAA1,0.855,2011
Men's and boys' apparel,CUUR0000SAA1,0.858,2012
Men's and boys' apparel,CUUR0000SAA1,0.866,2013
Men's and boys' apparel,CUUR0000SAA1,0.834,2014
Men's and boys' apparel,CUUR0000SAA1,0.789,2015
Men's and boys' apparel,CUUR0000SAA1,0.75,2016
Men's and boys' apparel,CUUR0000SAA1,0.737,2017
Men's and boys' apparel,CUUR0000SAA1,0.735,2018
Men's and boys' apparel,CUUR0000SAA1,0.697,2019
Men's and boys' apparel,CUUR0000SAA1,0.666,2020
Men's and boys' apparel,CUUR0000SAA1,0.625,2021
Men's and boys' apparel,CUUR0000SAA1,0.645,2022
Men's and boys' apparel,CUUR0000SAA1,0.636,2023
Women's and girls' apparel,CUUR0000SAA2,1.939,1998
Women's and girls' apparel,CUUR0000SAA2,1.879,1999
Women's and girls' apparel,CUUR0000SAA2,1.787,2000
Women's and girls' apparel,CUUR0000SAA2,1.807,2001
Women's and girls' apparel,CUUR0000SAA2,1.738,2002
Women's and girls' apparel,CUUR0000SAA2,1.704,2003
Women's and girls' apparel,CUUR0000SAA2,1.638,2004
Women's and girls' apparel,CUUR0000SAA2,1.612,2005
Women's and girls' apparel,CUUR0000SAA2,1.59,2006
Women's and girls' apparel,CUUR0000SAA2,1.6,2007
Women's and girls' apparel,CUUR0000SAA2,1.541,2008
Women's and girls' apparel,CUUR0000SAA2,1.58,2009
Women's and girls' apparel,CUUR0000SAA2,1.52,2010
Women's and girls' apparel,CUUR0000SAA2,1.507,2011
Women's and girls' apparel,CUUR0000SAA2,1.495,2012
Women's and girls' apparel,CUUR0000SAA2,1.504,2013
Women's and girls' apparel,CUUR0000SAA2,1.439,2014
Women's and girls' apparel,CUUR0000SAA2,1.25,2015
Women's and girls' apparel,CUUR0000SAA2,1.228,2016
Women's and girls' apparel,CUUR0000SAA2,1.229,2017
Women's and girls' apparel,CUUR0000SAA2,1.19,2018
Women's and girls' apparel,CUUR0000SAA2,1.158,2019
Women's and girls' apparel,CUUR0000SAA2,1.075,2020
Women's and girls' apparel,CUUR0000SAA2,0.952,2021
Women's and girls' apparel,CUUR0000SAA2,1.008,2022
Women's and girls' apparel,CUUR0000SAA2,1.009,2023
Education and communication,CUUR0000SAE,5.478,1998
Education and communication,CUUR0000SAE,5.419,1999
Education and communication,CUUR0000SAE,5.311,2000
Education and communication,CUUR0000SAE,5.813,2001
Education and communication,CUUR0000SAE,5.798,2002
Education and communication,CUUR0000SAE,5.948,2003
Education and communication,CUUR0000SAE,5.846,2004
Education and communication,CUUR0000SAE,6.047,2005
Education and communication,CUUR0000SAE,6.034,2006
Education and communication,CUUR0000SAE,6.086,2007
Education and communication,CUUR0000SAE,6.301,2008
Education and communication,CUUR0000SAE,6.434,2009
Education and communication,CUUR0000SAE,6.421,2010
Education and communication,CUUR0000SAE,6.797,2011
Education and communication,CUUR0000SAE,6.779,2012
Education and communication,CUUR0000SAE,7.087,2013
Education and communication,CUUR0000SAE,7.062,2014
Education and communication,CUUR0000SAE,7.145,2015
Education and communication,CUUR0000SAE,6.984,2016
Education and communication,CUUR0000SAE,6.707,2017
Education and communication,CUUR0000SAE,6.596,2018
Education and communication,CUUR0000SAE,6.77,2019
Education and communication,CUUR0000SAE,6.81,2020
Education and communication,CUUR0000SAE,6.406,2021
Education and communication,CUUR0000SAE,5.845,2022
Education and communication,CUUR0000SAE,5.906,2023
Education,CUUR0000SAE1,2.694,1998
Education,CUUR0000SAE1,2.741,1999
Education,CUUR0000SAE1,2.801,2000
Education,CUUR0000SAE1,2.726,2001
Education,CUUR0000SAE1,2.835,2002
Education,CUUR0000SAE1,2.841,2003
Education,CUUR0000SAE1,2.931,2004
Education,CUUR0000SAE1,2.967,2005
Education,CUUR0000SAE1,3.076,2006
Education,CUUR0000SAE1,2.944,2007
Education,CUUR0000SAE1,3.107,2008
Education,CUUR0000SAE1,3.035,2009
Education,CUUR0000SAE1,3.107,2010
Education,CUUR0000SAE1,3.216,2011
Education,CUUR0000SAE1,3.281,2012
Education,CUUR0000SAE1,3.244,2013
Education,CUUR0000SAE1,3.325,2014
Education,CUUR0000SAE1,3.189,2015
Education,CUUR0000SAE1,3.209,2016
Education,CUUR0000SAE1,3.034,2017
Education,CUUR0000SAE1,3.055,2018
Education,CUUR0000SAE1,3.032,2019
Education,CUUR0000SAE1,3.033,2020
Education,CUUR0000SAE1,2.677,2021
Education,CUUR0000SAE1,2.274,2022
Education,CUUR0000SAE1,2.489,2023
Communication,CUUR0000SAE2,2.783,1998
Communication,CUUR0000SAE2,2.679,1999
Communication,CUUR0000SAE2,2.51,2000
Communication,CUUR0000SAE2,3.087,2001
Communication,CUUR0000SAE2,2.963,2002
Communication,CUUR0000SAE2,3.107,2003
Communication,CUUR0000SAE2,2.914,2004
Communication,CUUR0000SAE2,3.08,2005
Communication,CUUR0000SAE2,2.958,2006
Communication,CUUR0000SAE2,3.142,2007
Communication,CUUR0000SAE2,3.194,2008
Communication,CUUR0000SAE2,3.399,2009
Communication,CUUR0000SAE2,3.313,2010
Communication,CUUR0000SAE2,3.581,2011
Communication,CUUR0000SAE2,3.499,2012
Communication,CUUR0000SAE2,3.843,2013
Communication,CUUR0000SAE2,3.737,2014
Communication,CUUR0000SAE2,3.956,2015
Communication,CUUR0000SAE2,3.775,2016
Communication,CUUR0000SAE2,3.674,2017
Communication,CUUR0000SAE2,3.542,2018
Communication,CUUR0000SAE2,3.738,2019
Communication,CUUR0000SAE2,3.777,2020
Communication,CUUR0000SAE2,3.728,2021
Communication,CUUR0000SAE2,3.571,2022
Communication,CUUR0000SAE2,3.417,2023
Food and beverages,CUUR0000SAF,16.408,1998
Food and beverages,CUUR0000SAF,16.302,1999
Food and beverages,CUUR0000SAF,16.198,2000
Food and beverages,CUUR0000SAF,15.719,2001
Food and beverages,CUUR0000SAF,15.583,2002
Food and beverages,CUUR0000SAF,15.384,2003
Food and beverages,CUUR0000SAF,15.291,2004
Food and beverages,CUUR0000SAF,15.051,2005
Food and beverages,CUUR0000SAF,14.992,2006
Food and beverages,CUUR0000SAF,14.914,2007
Food and beverages,CUUR0000SAF,15.757,2008
Food and beverages,CUUR0000SAF,14.795,2009
Food and beverages,CUUR0000SAF,14.792,2010
Food and beverages,CUUR0000SAF,15.256,2011
Food and beverages,CUUR0000SAF,15.261,2012
Food and beverages,CUUR0000SAF,14.901,2013
Food and beverages,CUUR0000SAF,15.272,2014
Food and beverages,CUUR0000SAF,14.973,2015
Food and beverages,CUUR0000SAF,14.649,2016
Food and beverages,CUUR0000SAF,14.359,2017
Food and beverages,CUUR0000SAF,14.314,2018
Food and beverages,CUUR0000SAF,14.794,2019
Food and beverages,CUUR0000SAF,15.157,2020
Food and beverages,CUUR0000SAF,14.259,2021
Food and beverages,CUUR0000SAF,14.376,2022
