,year,month,series_id,series_desc,level,order,value
684,1999,1,CUUR0000SA0,All items ,0,0,164.3
685,1999,1,CUUR0000SAF,Food and beverages,1,1,163.9
686,1999,1,CUUR0000SAF11,Food at home,2,2,164.3
687,1999,1,CUUR0000SAF111,Cereals and bakery products,3,3,184.2
688,1999,1,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,146.4
689,1999,1,CUUR0000SEFJ,Dairy and related products,3,5,161.2
690,1999,1,CUUR0000SAF113,Fruits and vegetables,3,6,208.6
691,1999,1,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,133.5
692,1999,1,CUUR0000SAF115,Other food at home,3,8,153.0
693,1999,1,CUUR0000SEFV,Food away from home,2,9,163.5
694,1999,1,CUUR0000SAF116,Alcoholic beverages,2,10,167.6
695,1999,1,CUUR0000SAH,Housing,1,11,161.8
696,1999,1,CUUR0000SAH1,Shelter,2,12,184.7
697,1999,1,CUUR0000SEHA,Rent of primary residence,3,13,175.3
698,1999,1,CUUR0000SEHB,Lodging away from home,3,14,107.1
699,1999,1,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,191.0
700,1999,1,CUUR0000SEHD,Tenants and household insurance,3,16,99.7
701,1999,1,CUUR0000SAH2,Fuels and utilities,2,17,126.2
702,1999,1,CUUR0000SEHE,Fuel oil and other fuels,3,18,86.6
703,1999,1,CUUR0000SEHF,Energy services,3,19,118.3
704,1999,1,CUUR0000SEHG,Water and Sewer Services,3,20,103.0
705,1999,1,CUUR0000SAH3,Household furnishings and operations,2,21,126.8
706,1999,1,CUUR0000SAA,Apparel,1,22,127.9
707,1999,1,CUUR0000SAA1,Men's and boys' apparel,2,23,128.1
708,1999,1,CUUR0000SAA2,Women's and girls' apparel,2,24,117.7
709,1999,1,CUUR0000SEAE,Footwear,2,25,125.6
710,1999,1,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,130.0
711,1999,1,CUUR0000SEAG,Jewelry and watches,2,27,138.5
712,1999,1,CUUR0000SAT,Transportation,1,28,140.4
713,1999,1,CUUR0000SAT1,Private Transportation,2,29,136.7
714,1999,1,CUUR0000SETA,New and used motor vehicles,3,30,100.6
715,1999,1,CUUR0000SETB,Motor fuel,3,31,85.0
716,1999,1,CUUR0000SETC,Motor vehicle parts and equipment,3,32,101.2
717,1999,1,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,169.8
718,1999,1,CUUR0000SETE,Motor vehicle insurance,3,34,254.5
719,1999,1,CUUR0000SETF,Motor vehicle fees,3,35,103.2
720,1999,1,CUUR0000SETG,Public transportation,2,36,190.4
721,1999,1,CUUR0000SETG01,Airline fare,3,37,206.4
722,1999,1,CUUR0000SETG02,Other intercity transportation,3,38,160.9
723,1999,1,CUUR0000SETG03,Intracity transportation,3,39,171.9
724,1999,1,CUUR0000SAM,Medical care,1,40,246.6
725,1999,1,CUUR0000SAM1,Medical care commodities,2,41,225.9
726,1999,1,CUUR0000SAM2,Medical care services,2,42,251.3
727,1999,1,CUUR0000SAR,Recreation,1,43,101.7
728,1999,1,CUUR0000SERA,Video and audio,2,44,101.4
729,1999,1,CUUR0000SERB,"Pets, pet products and services",2,45,102.6
730,1999,1,CUUR0000SERC,Sporting goods,2,46,121.1
731,1999,1,CUUR0000SERD,Photography,2,47,99.5
732,1999,1,CUUR0000SERE,Other recreational goods,2,48,94.8
733,1999,1,CUUR0000SERF,Recreation services,2,49,104.4
734,1999,1,CUUR0000SERG,Recreational reading materials,2,50,186.4
735,1999,1,CUUR0000SAE,Education and communication,1,51,100.9
736,1999,1,CUUR0000SAE1,Education,2,52,105.0
737,1999,1,CUUR0000SAE2,Communication,2,53,97.3
738,1999,1,CUUR0000SAG,Other goods and services,1,54,255.4
739,1999,1,CUUR0000SEGA,Tobacco and smoking products,2,55,354.2
740,1999,1,CUUR0000SAG1,Personal care goods and services,2,56,158.9
741,1999,2,CUUR0000SA0,All items ,0,0,164.5
742,1999,2,CUUR0000SAF,Food and beverages,1,1,163.8
743,1999,2,CUUR0000SAF11,Food at home,2,2,163.8
744,1999,2,CUUR0000SAF111,Cereals and bakery products,3,3,183.8
745,1999,2,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,147.0
746,1999,2,CUUR0000SEFJ,Dairy and related products,3,5,162.3
747,1999,2,CUUR0000SAF113,Fruits and vegetables,3,6,200.3
748,1999,2,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.5
749,1999,2,CUUR0000SAF115,Other food at home,3,8,153.3
750,1999,2,CUUR0000SEFV,Food away from home,2,9,163.8
751,1999,2,CUUR0000SAF116,Alcoholic beverages,2,10,168.6
752,1999,2,CUUR0000SAH,Housing,1,11,162.3
753,1999,2,CUUR0000SAH1,Shelter,2,12,185.5
754,1999,2,CUUR0000SEHA,Rent of primary residence,3,13,175.6
755,1999,2,CUUR0000SEHB,Lodging away from home,3,14,110.5
756,1999,2,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,191.3
757,1999,2,CUUR0000SEHD,Tenants and household insurance,3,16,100.1
758,1999,2,CUUR0000SAH2,Fuels and utilities,2,17,126.0
759,1999,2,CUUR0000SEHE,Fuel oil and other fuels,3,18,86.2
760,1999,2,CUUR0000SEHF,Energy services,3,19,118.0
761,1999,2,CUUR0000SEHG,Water and Sewer Services,3,20,103.2
762,1999,2,CUUR0000SAH3,Household furnishings and operations,2,21,126.7
763,1999,2,CUUR0000SAA,Apparel,1,22,129.7
764,1999,2,CUUR0000SAA1,Men's and boys' apparel,2,23,129.9
765,1999,2,CUUR0000SAA2,Women's and girls' apparel,2,24,120.6
766,1999,2,CUUR0000SEAE,Footwear,2,25,124.8
767,1999,2,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,126.4
768,1999,2,CUUR0000SEAG,Jewelry and watches,2,27,143.4
769,1999,2,CUUR0000SAT,Transportation,1,28,139.8
770,1999,2,CUUR0000SAT1,Private Transportation,2,29,135.9
771,1999,2,CUUR0000SETA,New and used motor vehicles,3,30,99.9
772,1999,2,CUUR0000SETB,Motor fuel,3,31,83.6
773,1999,2,CUUR0000SETC,Motor vehicle parts and equipment,3,32,100.9
774,1999,2,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,170.4
775,1999,2,CUUR0000SETE,Motor vehicle insurance,3,34,254.4
776,1999,2,CUUR0000SETF,Motor vehicle fees,3,35,103.2
777,1999,2,CUUR0000SETG,Public transportation,2,36,193.1
778,1999,2,CUUR0000SETG01,Airline fare,3,37,211.4
779,1999,2,CUUR0000SETG02,Other intercity transportation,3,38,158.9
780,1999,2,CUUR0000SETG03,Intracity transportation,3,39,172.1
781,1999,2,CUUR0000SAM,Medical care,1,40,247.7
782,1999,2,CUUR0000SAM1,Medical care commodities,2,41,226.8
783,1999,2,CUUR0000SAM2,Medical care services,2,42,252.6
784,1999,2,CUUR0000SAR,Recreation,1,43,101.8
785,1999,2,CUUR0000SERA,Video and audio,2,44,101.6
786,1999,2,CUUR0000SERB,"Pets, pet products and services",2,45,102.6
787,1999,2,CUUR0000SERC,Sporting goods,2,46,121.2
788,1999,2,CUUR0000SERD,Photography,2,47,99.7
789,1999,2,CUUR0000SERE,Other recreational goods,2,48,94.3
790,1999,2,CUUR0000SERF,Recreation services,2,49,105.0
791,1999,2,CUUR0000SERG,Recreational reading materials,2,50,185.8
792,1999,2,CUUR0000SAE,Education and communication,1,51,100.9
793,1999,2,CUUR0000SAE1,Education,2,52,105.3
794,1999,2,CUUR0000SAE2,Communication,2,53,96.9
795,1999,2,CUUR0000SAG,Other goods and services,1,54,255.0
796,1999,2,CUUR0000SEGA,Tobacco and smoking products,2,55,348.7
797,1999,2,CUUR0000SAG1,Personal care goods and services,2,56,159.4
798,1999,3,CUUR0000SA0,All items ,0,0,165.0
799,1999,3,CUUR0000SAF,Food and beverages,1,1,163.7
800,1999,3,CUUR0000SAF11,Food at home,2,2,163.4
801,1999,3,CUUR0000SAF111,Cereals and bakery products,3,3,183.5
802,1999,3,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,146.8
803,1999,3,CUUR0000SEFJ,Dairy and related products,3,5,161.5
804,1999,3,CUUR0000SAF113,Fruits and vegetables,3,6,199.9
805,1999,3,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.5
806,1999,3,CUUR0000SAF115,Other food at home,3,8,152.9
807,1999,3,CUUR0000SEFV,Food away from home,2,9,164.2
808,1999,3,CUUR0000SAF116,Alcoholic beverages,2,10,168.4
809,1999,3,CUUR0000SAH,Housing,1,11,162.8
810,1999,3,CUUR0000SAH1,Shelter,2,12,186.3
811,1999,3,CUUR0000SEHA,Rent of primary residence,3,13,176.0
812,1999,3,CUUR0000SEHB,Lodging away from home,3,14,114.5
813,1999,3,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,191.5
814,1999,3,CUUR0000SEHD,Tenants and household insurance,3,16,100.2
815,1999,3,CUUR0000SAH2,Fuels and utilities,2,17,125.9
816,1999,3,CUUR0000SEHE,Fuel oil and other fuels,3,18,86.2
817,1999,3,CUUR0000SEHF,Energy services,3,19,117.9
818,1999,3,CUUR0000SEHG,Water and Sewer Services,3,20,103.4
819,1999,3,CUUR0000SAH3,Household furnishings and operations,2,21,126.7
820,1999,3,CUUR0000SAA,Apparel,1,22,132.7
821,1999,3,CUUR0000SAA1,Men's and boys' apparel,2,23,131.4
822,1999,3,CUUR0000SAA2,Women's and girls' apparel,2,24,126.3
823,1999,3,CUUR0000SEAE,Footwear,2,25,126.4
824,1999,3,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,125.6
825,1999,3,CUUR0000SEAG,Jewelry and watches,2,27,141.3
826,1999,3,CUUR0000SAT,Transportation,1,28,140.6
827,1999,3,CUUR0000SAT1,Private Transportation,2,29,136.4
828,1999,3,CUUR0000SETA,New and used motor vehicles,3,30,99.6
829,1999,3,CUUR0000SETB,Motor fuel,3,31,86.3
830,1999,3,CUUR0000SETC,Motor vehicle parts and equipment,3,32,100.1
831,1999,3,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,170.6
832,1999,3,CUUR0000SETE,Motor vehicle insurance,3,34,254.5
833,1999,3,CUUR0000SETF,Motor vehicle fees,3,35,103.2
834,1999,3,CUUR0000SETG,Public transportation,2,36,198.8
835,1999,3,CUUR0000SETG01,Airline fare,3,37,221.3
836,1999,3,CUUR0000SETG02,Other intercity transportation,3,38,158.6
837,1999,3,CUUR0000SETG03,Intracity transportation,3,39,172.2
838,1999,3,CUUR0000SAM,Medical care,1,40,248.3
839,1999,3,CUUR0000SAM1,Medical care commodities,2,41,227.7
840,1999,3,CUUR0000SAM2,Medical care services,2,42,253.1
841,1999,3,CUUR0000SAR,Recreation,1,43,101.8
842,1999,3,CUUR0000SERA,Video and audio,2,44,101.2
843,1999,3,CUUR0000SERB,"Pets, pet products and services",2,45,102.9
844,1999,3,CUUR0000SERC,Sporting goods,2,46,121.5
845,1999,3,CUUR0000SERD,Photography,2,47,99.7
846,1999,3,CUUR0000SERE,Other recreational goods,2,48,94.1
847,1999,3,CUUR0000SERF,Recreation services,2,49,105.2
848,1999,3,CUUR0000SERG,Recreational reading materials,2,50,185.3
849,1999,3,CUUR0000SAE,Education and communication,1,51,100.8
850,1999,3,CUUR0000SAE1,Education,2,52,105.4
851,1999,3,CUUR0000SAE2,Communication,2,53,96.6
852,1999,3,CUUR0000SAG,Other goods and services,1,54,253.3
853,1999,3,CUUR0000SEGA,Tobacco and smoking products,2,55,335.9
854,1999,3,CUUR0000SAG1,Personal care goods and services,2,56,160.0
855,1999,4,CUUR0000SA0,All items ,0,0,166.2
856,1999,4,CUUR0000SAF,Food and beverages,1,1,163.9
857,1999,4,CUUR0000SAF11,Food at home,2,2,163.5
858,1999,4,CUUR0000SAF111,Cereals and bakery products,3,3,184.8
859,1999,4,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,146.7
860,1999,4,CUUR0000SEFJ,Dairy and related products,3,5,156.1
861,1999,4,CUUR0000SAF113,Fruits and vegetables,3,6,203.3
862,1999,4,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,134.3
863,1999,4,CUUR0000SAF115,Other food at home,3,8,153.6
864,1999,4,CUUR0000SEFV,Food away from home,2,9,164.5
865,1999,4,CUUR0000SAF116,Alcoholic beverages,2,10,168.8
866,1999,4,CUUR0000SAH,Housing,1,11,163.0
867,1999,4,CUUR0000SAH1,Shelter,2,12,186.6
868,1999,4,CUUR0000SEHA,Rent of primary residence,3,13,176.4
869,1999,4,CUUR0000SEHB,Lodging away from home,3,14,114.6
870,1999,4,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,191.9
871,1999,4,CUUR0000SEHD,Tenants and household insurance,3,16,100.3
872,1999,4,CUUR0000SAH2,Fuels and utilities,2,17,125.7
873,1999,4,CUUR0000SEHE,Fuel oil and other fuels,3,18,87.7
874,1999,4,CUUR0000SEHF,Energy services,3,19,117.5
875,1999,4,CUUR0000SEHG,Water and Sewer Services,3,20,103.6
876,1999,4,CUUR0000SAH3,Household furnishings and operations,2,21,127.2
877,1999,4,CUUR0000SAA,Apparel,1,22,135.2
878,1999,4,CUUR0000SAA1,Men's and boys' apparel,2,23,133.5
879,1999,4,CUUR0000SAA2,Women's and girls' apparel,2,24,128.7
880,1999,4,CUUR0000SEAE,Footwear,2,25,129.2
881,1999,4,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,128.2
882,1999,4,CUUR0000SEAG,Jewelry and watches,2,27,144.3
883,1999,4,CUUR0000SAT,Transportation,1,28,144.3
884,1999,4,CUUR0000SAT1,Private Transportation,2,29,140.1
885,1999,4,CUUR0000SETA,New and used motor vehicles,3,30,99.7
886,1999,4,CUUR0000SETB,Motor fuel,3,31,100.9
887,1999,4,CUUR0000SETC,Motor vehicle parts and equipment,3,32,100.3
888,1999,4,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,170.9
889,1999,4,CUUR0000SETE,Motor vehicle insurance,3,34,253.3
890,1999,4,CUUR0000SETF,Motor vehicle fees,3,35,103.4
891,1999,4,CUUR0000SETG,Public transportation,2,36,201.4
892,1999,4,CUUR0000SETG01,Airline fare,3,37,225.8
893,1999,4,CUUR0000SETG02,Other intercity transportation,3,38,159.0
894,1999,4,CUUR0000SETG03,Intracity transportation,3,39,172.2
895,1999,4,CUUR0000SAM,Medical care,1,40,249.1
896,1999,4,CUUR0000SAM1,Medical care commodities,2,41,229.3
897,1999,4,CUUR0000SAM2,Medical care services,2,42,253.5
898,1999,4,CUUR0000SAR,Recreation,1,43,102.0
899,1999,4,CUUR0000SERA,Video and audio,2,44,101.0
900,1999,4,CUUR0000SERB,"Pets, pet products and services",2,45,103.6
901,1999,4,CUUR0000SERC,Sporting goods,2,46,121.4
902,1999,4,CUUR0000SERD,Photography,2,47,99.6
903,1999,4,CUUR0000SERE,Other recreational goods,2,48,93.8
904,1999,4,CUUR0000SERF,Recreation services,2,49,106.1
905,1999,4,CUUR0000SERG,Recreational reading materials,2,50,185.8
906,1999,4,CUUR0000SAE,Education and communication,1,51,100.7
907,1999,4,CUUR0000SAE1,Education,2,52,105.5
908,1999,4,CUUR0000SAE2,Communication,2,53,96.3
909,1999,4,CUUR0000SAG,Other goods and services,1,54,256.1
910,1999,4,CUUR0000SEGA,Tobacco and smoking products,2,55,349.9
911,1999,4,CUUR0000SAG1,Personal care goods and services,2,56,160.2
912,1999,5,CUUR0000SA0,All items ,0,0,166.2
