,year,month,series_id,series_desc,level,order,curr_weight
684,1999,1,CUUR0000SA0,All items ,0,0,100.0
685,1999,1,CUUR0000SAF,Food and beverages,1,1,16.489
686,1999,1,CUUR0000SAF11,Food at home,2,2,9.768
687,1999,1,CUUR0000SAF111,Cereals and bakery products,3,3,1.556
688,1999,1,CUUR0000SAF112,"Meats, poultry, fish, and eggs  ",3,4,2.547
689,1999,1,CUUR0000SEFJ,Dairy and related products,3,5,1.11
690,1999,1,CUUR0000SAF113,Fruits and vegetables,3,6,1.493
691,1999,1,CUUR0000SAF114,Nonalcoholic beverages and beverage materials,3,7,1.061
692,1999,1,CUUR0000SAF115,Other food at home,3,8,2.005
693,1999,1,CUUR0000SEFV,Food away from home,2,9,5.734
694,1999,1,CUUR0000SAF116,Alcoholic beverages,2,10,0.986
695,1999,1,CUUR0000SAH,Housing,1,11,39.854
696,1999,1,CUUR0000SAH1,Shelter,2,12,30.324
697,1999,1,CUUR0000SEHA,Rent of primary residence,3,13,7.006
698,1999,1,CUUR0000SEHB,Lodging away from home,3,14,2.446
699,1999,1,CUUR0000SEHC01,Owners' equivalent rent of primary residence,3,15,20.511
700,1999,1,CUUR0000SEHD,Tenants and household insurance,3,16,0.369
701,1999,1,CUUR0000SAH2,Fuels and utilities,2,17,4.709
702,1999,1,CUUR0000SEHE,Fuel oil and other fuels,3,18,0.228
703,1999,1,CUUR0000SEHF,Energy services,3,19,3.547
704,1999,1,CUUR0000SEHG,Water and Sewer Services,3,20,0.934
705,1999,1,CUUR0000SAH3,Household furnishings and operations,2,21,4.806
706,1999,1,CUUR0000SAA,Apparel,1,22,4.716
707,1999,1,CUUR0000SAA1,Men's and boys' apparel,2,23,1.332
708,1999,1,CUUR0000SAA2,Women's and girls' apparel,2,24,1.86
709,1999,1,CUUR0000SEAE,Footwear,2,25,0.861
710,1999,1,CUUR0000SEAF,Infants' and toddlers' apparel,2,26,0.272
711,1999,1,CUUR0000SEAG,Jewelry and watches,2,27,0.393
712,1999,1,CUUR0000SAT,Transportation,1,28,16.921
713,1999,1,CUUR0000SAT1,Private Transportation,2,29,15.558
714,1999,1,CUUR0000SETA,New and used motor vehicles,3,30,7.801
715,1999,1,CUUR0000SETB,Motor fuel,3,31,2.452
716,1999,1,CUUR0000SETC,Motor vehicle parts and equipment,3,32,0.548
717,1999,1,CUUR0000SETD,Motor vehicle maintenance and repair,3,33,1.622
718,1999,1,CUUR0000SETE,Motor vehicle insurance,3,34,2.496
719,1999,1,CUUR0000SETF,Motor vehicle fees,3,35,0.641
720,1999,1,CUUR0000SETG,Public transportation,2,36,1.357
721,1999,1,CUUR0000SETG01,Airline fare,3,37,0.847
722,1999,1,CUUR0000SETG02,Other intercity transportation,3,38,0.184
723,1999,1,CUUR0000SETG03,Intracity transportation,3,39,0.321
724,1999,1,CUUR0000SAM,Medical care,1,40,5.732
725,1999,1,CUUR0000SAM1,Medical care commodities,2,41,1.251
726,1999,1,CUUR0000SAM2,Medical care services,2,42,4.48
727,1999,1,CUUR0000SAR,Recreation,1,43,6.135
728,1999,1,CUUR0000SERA,Video and audio,2,44,1.756
729,1999,1,CUUR0000SERB,"Pets, pet products and services",2,45,0.669
730,1999,1,CUUR0000SERC,Sporting goods,2,46,0.478
731,1999,1,CUUR0000SERD,Photography,2,47,0.259
732,1999,1,CUUR0000SERE,Other recreational goods,2,48,0.555
733,1999,1,CUUR0000SERF,Recreation services,2,49,1.814
734,1999,1,CUUR0000SERG,Recreational reading materials,2,50,0.602
735,1999,1,CUUR0000SAE,Education and communication,1,51,5.476
736,1999,1,CUUR0000SAE1,Education,2,52,2.695
737,1999,1,CUUR0000SAE2,Communication,2,53,2.782
738,1999,1,CUUR0000SAG,Other goods and services,1,54,4.707
739,1999,1,CUUR0000SEGA,Tobacco and smoking products,2,55,1.236
740,1999,1,CUUR0000SAG1,Personal care goods and services,2,56,3.47
741,1999,2,CUUR0000SA0,All items ,0,0,100.0
742,1999,2,CUUR0000SAF,Food and beverages,1,1,16.459
